frame,speed_kmh,velocity_raw,velocity_dec,position_raw,position_dec,pos_delta
2,0,0x0000,0,0x008CF8D0,9238736,0
12,0,0x0000,0,0x008CF8D0,9238736,0
22,0,0x0113,275,0x008CF715,9238293,-443
32,2,0x0713,1811,0x008CE1D4,9232852,-5884
42,6,0x120A,4618,0x008C9F67,9215847,-22889
52,12,0x2091,8337,0x008C19FD,9181693,-57043
60,17,0x2C08,11272,0x008B7AEF,9140975,-97761
80,28,0x4709,18185,,,
100,39,0x5FB2,24498,,,
120,48,0x7617,30231,,,
160,70,0xAAF8,43768,,,
200,100,0xF1C2,61890,,,
240,119,0x11CE7,72935,,,
300,145,0x15B3F,88895,,,
